ObjectID	ObjectType	OnPremisesSecurityIdentifier	UserPrincipalName	GivenName	Surname	DisplayName	UserType	UserState	MailEnabled	onPremisesDistinguishedName	PublisherName
34797547-276e-422e-afdb-ccec93112cf6	ServicePrincipal					Entelo					Microsoft Accounts
b3a938f1-c3aa-4e6f-97de-bbdd16f88d08	ServicePrincipal					Otter					Microsoft Accounts
864e917a-d0ff-4e80-afc7-6e19d27800c2	ServicePrincipal					Bitbucket Cloud					Microsoft Accounts
70dd0a05-c949-432c-b315-0cca134012ee	ServicePrincipal					careers.cognizant.com					Microsoft Accounts
f207cb9a-96b9-4d55-9699-79f9538c25e3	ServicePrincipal					talla-production					Microsoft Accounts
177c83da-e7d1-4c1a-8ff7-49a203398aa5	ServicePrincipal					VaultedgeOffice365					Microsoft Accounts
7b7979a6-0d0e-4988-9089-465bd6511a15	ServicePrincipal					Azure Logic Apps (East US)					Microsoft Accounts
f4461a77-8065-4d83-afe2-bb73f124a0ab	ServicePrincipal					MyGet					Microsoft Accounts
ce32a309-b7cd-46a6-965c-085b6502312b	ServicePrincipal					Canvas					Microsoft Accounts
261c7ce9-6c2e-40f3-b279-7604136ea040	ServicePrincipal					Shkolo					Microsoft Accounts
0816a93b-bd03-4e0c-9d3c-f12a6dfdc3ee	ServicePrincipal					CloudBerry Explorer					Microsoft Accounts
9c11f790-bc39-472c-a912-757931dd4f09	ServicePrincipal					Druide / TypingPal / Tap'Touche / Antidote					Microsoft Accounts
af725ac1-e6e9-494d-b0d3-1cd4184d258f	ServicePrincipal					YouCanBook.me					Microsoft Accounts
69f07d23-d445-4df2-8207-dddd1cbdbcda	ServicePrincipal					RealtimeBoard					Microsoft Accounts
153236ea-803b-42d3-a841-364638d0f788	ServicePrincipal					Plan					Microsoft Accounts
337eb1a1-e5f1-4751-b810-390a3c94fc61	ServicePrincipal					OAuth Testing					Microsoft Accounts
775045ff-75f1-4afa-979a-89f0393d6a84	ServicePrincipal					Zoom					Zoom Video Communications
eb374692-5c29-42fd-b000-ac7f24414f91	ServicePrincipal					Flexcil for iPad					Microsoft Accounts
3b8e65b2-bd43-4f1f-8b1a-c970957e4bf8	ServicePrincipal					Symbolab					Microsoft Accounts
0790ab11-ef6f-4158-9da0-ae10d80c8187	ServicePrincipal					DocScan					Microsoft Accounts
c013f963-d4f6-4750-8c0c-5b88831dbe10	ServicePrincipal					Workbot					Microsoft Accounts
e8f94ae3-6966-498d-9d4c-00cc53c55754	ServicePrincipal					Bizagi Accounts 1.0					Microsoft Accounts
1bfb3909-3026-43c5-b057-0589edebcb2d	ServicePrincipal					LinkedIn					LinkedIn Production
360a787e-f6c2-44d3-b997-749356e8dcf5	ServicePrincipal					AnyTrans					Microsoft Accounts
46c2019c-87c9-443d-8b28-64603058aacf	ServicePrincipal					CircleBack					Microsoft Accounts
85d8b91b-f39a-47b1-9eeb-99846e556e12	ServicePrincipal					GoAnimate					Microsoft Accounts
03fc0015-7482-4990-bf6f-30f5f467c56c	ServicePrincipal					CacheMount (Connect to Cloud Drive)					Microsoft Accounts
ea3555b9-7d55-4428-9317-4d09c27478a9	ServicePrincipal					id.quest.com quest realm					Microsoft Accounts
7c827daa-50c9-4b18-a61b-f52cb955e65f	ServicePrincipal					Wavebox Identity					Microsoft Accounts
45b7b632-19b4-4a2d-b0cc-1c93bc5dd059	ServicePrincipal					Project Gutenberg					Microsoft Accounts
ae8e8ee8-1833-4fa5-b38d-fa2e31e5f33e	ServicePrincipal					MSRC Portal					Microsoft Accounts
14eff076-6a1a-40ac-b39d-18509b51d85b	ServicePrincipal					OneDrive					Microsoft Accounts
de9fc461-b92e-4deb-805b-db87171a61a5	ServicePrincipal					Open Ignite					Microsoft Accounts
4e4af5ca-8dc9-40c3-a1f4-28a07ef82884	ServicePrincipal					GanttPRO					Microsoft Accounts
f0625265-ec81-47e2-af5d-92ae9cd7724a	ServicePrincipal					OneSync					Microsoft Accounts
28266224-de9a-4161-943a-7bf7692d4290	ServicePrincipal					Sectograph					Microsoft Accounts
302d165f-e6f4-4b65-a974-426cb764a14e	ServicePrincipal					SATS APP MX 31519					Microsoft Accounts
76456463-7801-4a50-90a8-e5b16f19f5d5	ServicePrincipal					NA1					Microsoft Accounts
0e08ba90-0693-4709-ae9b-93793886a760	ServicePrincipal					Soda PDF Stage(stage-oauth.sodapdf.com)					Microsoft Accounts
864fa851-3bb2-4c6e-a2c0-2a47228f0185	ServicePrincipal					TextRecruit Scheduling					Microsoft Accounts
71429c6a-228e-4dc6-8061-6c9f590b55a4	ServicePrincipal					ShareX					Microsoft Accounts
32c85864-10e6-4efc-8882-58feb5b204f8	ServicePrincipal					My Notes in Gear					Microsoft Accounts
de6d1b21-a9c0-4976-b255-bc00ef4ce0dd	ServicePrincipal					QuickHelp					Microsoft Accounts
abcb7385-1506-4c20-b6d8-b61b9985e94e	ServicePrincipal					Adobe Captivate Prime					Microsoft Accounts
fc9c443b-ca86-4459-9699-2404601b69c2	ServicePrincipal					Bizzy (By H3 Solutions, Inc.)					Microsoft Accounts
0226f663-fc5e-46ee-8846-5f711cd178d6	ServicePrincipal					SyncMate					Microsoft Accounts
51d268ad-2a32-4094-824b-cc0ad0ea8c8f	ServicePrincipal					Foxit_PDF_Graph					Microsoft Accounts
022d2824-0b00-4911-83b5-296d87da569e	ServicePrincipal					DocuSign					DocuSign
61b1653b-f12b-43b0-9a2a-7c0a081541fc	ServicePrincipal					DavMail					Microsoft Accounts
c40f3cee-89be-4339-8ab3-4a2319da3387	ServicePrincipal					Distribution Manager Production					Microsoft Accounts
764ccafd-4b79-40ed-813e-c08ac73dd9d1	ServicePrincipal					cloudHQ					Microsoft Accounts
5fba69aa-3db3-4397-892f-d0782d0897cb	ServicePrincipal					Sessionize.com					Microsoft Accounts
d29adb69-66be-470f-a9f2-0da0e07e3ff1	ServicePrincipal					Polly					Microsoft Accounts
f36a1af8-b446-4e12-9bb8-7772c20b775e	ServicePrincipal					Polymail					Microsoft Accounts
99b88cc7-9246-41d6-a2e2-7e72deaa26e1	ServicePrincipal					Service					Microsoft Accounts
6e530cd1-9f48-4f51-bbe0-5f16df15ea11	ServicePrincipal					Azure Logic Apps (West US)					Microsoft Accounts
73019d00-643c-4efd-ad15-2e07a5d076a5	ServicePrincipal					Meetup-Prod					Microsoft Accounts
87e38be8-0a7d-49ed-aa8e-b0e5360abbad	ServicePrincipal					Viewer-Prod					Microsoft Accounts
54836375-fd20-498d-a756-1271eafed29f	ServicePrincipal					NA3					Microsoft Accounts
6853aa5e-0428-4975-9c6d-41d9a2a26b34	ServicePrincipal					MyFiles					Microsoft Accounts
cd89bbf0-21e9-4c67-9953-d36db8f54b11	ServicePrincipal					Amazon Alexa Connect					Amazon
